"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Carduelis_tristis";"Falco_sparverius";"Setophaga_ruticilla";"Turdus_migratorius";"Picoides_dorsalis";"Pica_hudsonia";"Picoides_arcticus";"Parus_atricapillus";"Megaceryle_alcyon";"Molothrus_ater";"Pheucticus_melanocephalus";"Certhia_americana";"Spizella_breweri";"Carpodacus_cassinii";"Stellula_calliope";"Catherpes_mexicanus";"Vireo_cassinii";"Parus_rufescens";"Bombycilla_cedrorum";"Spizella_passerina";"Nucifraga_columbiana";"Empidonax_occidentalis";"Accipiter_cooperii";"Chordeiles_minor";"Corvus_corax";"Geothlypis_trichas";"Junco_hyemalis";"Picoides_pubescens";"Empidonax_oberholseri";"Dendragapus_obscurus";"Sialia_sialis";"Tyrannus_tyrannus";"Sturnus_vulgaris";"Coccothraustes_vespertinus";"Passerella_iliaca";"Regulus_satrapa";"Perisoreus_canadensis";"Pipilo_chlorurus";"Empidonax_hammondii";"Picoides_villosus";"Catharus_guttatus";"Troglodytes_aedon";"Chondestes_grammacus";"Passerina_amoena";"Empidonax_minimus";"Melanerpes_lewis";"Melospiza_lincolnii";"Oporornis_tolmiei";"Sialia_currucoides";"Parus_gambeli";"Zenaida_macroura";"Vermivora_ruficapilla";"Surnia_ulula";"Colaptes_auratus";"Seiurus_noveboracensis";"Vermivora_celata";"Contopus_cooperi";"Pandion_haliaetus";"Seiurus_aurocapilla";"Troglodytes_troglodytes";"Pinicola_enucleator";"Carduelis_pinus";"Dryocopus_pileatus";"Vireo_plumbeus";"Sitta_pygmaea";"Sitta_canadensis";"Regulus_calendula";"Loxia_curvirostra";"Vireo_olivaceus";"Melanerpes_erythrocephalus";"Sphyrapicus_nuchalis";"Salpinctes_obsoletus";"Buteo_jamaicensis";"Bonasa_umbellus";"Selasphorus_rufus";"Agelaius_phoeniceus";"Melospiza_melodia";"Dendragapus_falcipennis";"Pipilo_maculatus";"Accipiter_striatus";"Cyanocitta_stelleri";"Catharus_ustulatus";"Myadestes_townsendi";"Dendroica_townsendi";"Tachycineta_bicolor";"Chaetura_vauxi";"Zoothera_naevia";"Pooecetes_gramineus";"Vireo_gilvus";"Sitta_carolinensis";"Zonotrichia_leucophrys";"Sialia_mexicana";"Sturnella_neglecta";"Piranga_ludoviciana";"Contopus_sordidulus";"Empidonax_traillii";"Sphyrapicus_thyroideus";"Gallinago_gallinago";"Meleagris_gallopavo";"Wilsonia_pusilla";"Dendroica_petechia";"Dendroica_coronata"
"1";"hut_9647";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"2";"hut_23217";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"3";"hut_23218";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
"4";"hut_23219";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"5";"hut_23220";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"6";"hut_3401";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"7";"hut_3402";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"8";"hut_3403";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"9";"hut_3404";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"10";"hut_3405";"hutto_unpbl";"montana_usa";"fire";"birds";1;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
