;plot;study;site;disturbance_type;taxonomic_group;year_after_dist;treatment;area;Phasianus_colchicus;Streptopelia_orientalis;Parus_major;Parus_ater;Parus_palustris;Parus_varius;Aegithalos_caudatus;Sitta_europaea;Pica_pica;Garrulus_glandarius;Zoothera_dauma;Turdus_pallidus;Picus_canus;Dendrocopos_kizuki;Dendrocopos_major;Dendrocopos_leucotos;Cuculus_micropterus;Cuculus_canorus;Cuculus_saturatus;Caprimulgus_indicus;Turdus_obscurus;Muscicapa_sibirica;Cyanoptila_cyanomelana;Phoenicurus_auroreus;Saxicola_torquatus;Sturnus_cineraceus;Halcyon_pileata;Eurystomus_orientalis;Lanius_bucephalus;Ixos_amaurotis;Corvus_corone;Corvus_macrorhynchos;Oriolus_chinensis;Emberiza_tristrami;Emberiza_elegans;Emberiza_cioides;Motacilla_cinerea;Motacilla_alba;Accipiter_nisus;Falco_subbuteo;Buteo_buteo;Falco_tinnunculus
1;a_1;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2;a_2;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
3;a_3;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;3
4;a_4;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2
5;a_5;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
6;a_6;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1
7;a_7;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
8;a_8;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
9;a_9;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;a_10;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;8
11;a_11;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
12;a_12;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
13;a_13;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
14;a_14;Lee et al. 2010;samchuk;fire;birds;7;salvaged;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;0;0;0;1;1
15;a_1;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;6;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
16;a_2;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;3;0;3;2;3;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0
17;a_3;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;4;0;2;3;0;5;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0
18;a_4;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;3;0;4;4;1;4;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0
19;a_5;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;5;0;2;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;a_6;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;1;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;a_7;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
22;a_8;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;1;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
23;a_9;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;3;0;2;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
24;a_10;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;4;0;2;0;2;1;0;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
25;a_11;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
26;a_12;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;2;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
27;a_13;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;5;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
28;a_14;Lee et al. 2010;samchuk;fire;birds;7;unsalvaged;10;0;0;3;0;3;4;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
29;a_1;Lee et al. 2010;samchuk;fire;birds;8;salvaged;10;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0
30;a_2;Lee et al. 2010;samchuk;fire;birds;8;salvaged;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
