"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Accipiter_gentilis";"Falco_tinnunculus";"Accipiter_soloensis";"Streptopelia_orientalis";"Eurystomus_orientalis";"Halcyon_pileata";"Dendrocopos_major";"Dendrocopos_leucotos";"Ixos_amaurotis";"Lanius_bucephalus";"Phoenicurus_auroreus";"Prunella_montanella";"Aegithalos_caudatus";"Phylloscopus_borealis";"Parus_palustris";"Parus_ater";"Parus_major";"Parus_varius";"Sitta_europaea";"Emberiza_elegans";"Sturnus_cineraceus";"Oriolus_chinensis";"Garrulus_glandarius";"Corvus_macrorhynchos"
"1";"PNI1-1";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;2;0;0;0;0;2;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"2";"PNI1-2";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;2;1;0;2;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0
"3";"PNI1-3";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
"4";"PNI1-4";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"5";"PNI1-5";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2
"6";"PNI2-1";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"PNI2-2";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"PNI2-3";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"PNI2-4";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"PNI2-5";"Choi et al. (2007)";"samchuck";"fire";"birds";5;"unsalvaged";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
