"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Carduelis_cannabina";"Alauda_arvensis";"Alectoris_rufa";"Anthus_campestris";"Anthus_pratensis";"Carduelis_carduelis";"Carduelis_chloris";"Certhia_brachydactyla";"Columba_palumbus";"Coturnix_coturnix";"Cuculus_canorus";"Emberiza_cia";"Erithacus_rubecula";"Ficedula_hypoleuca";"Fringilla_coelebs";"Galerida_theklae";"Garrulus_glandarius";"Lanius_meridionalis";"Loxia_curvirostra";"Lullula_arborea";"Miliaria_calandra";"Oenanthe_hispanica";"Oenanthe_oenanthe";"Oriolus_oriolus";"Parus_ater";"Parus_caeruleus";"Parus_cristatus";"Parus_major";"Phoenicurus_ochruros";"Phylloscopus_collybita";"Picus_viridis";"Regulus_ignicapilla";"Saxicola_torquatus";"Serinus_serinus";"Streptopelia_turtur";"Sylvia_cantillans";"Sylvia_communis";"Sylvia_conspicillata";"Sylvia_melanocephala";"Troglodytes_troglodytes";"Turdus_merula";"Turdus_philomelos";"Turdus_torquatus";"Turdus_viscivorus"
"1";"P1_1_Salvaged matrix";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"salvaged";"3,141592654";2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"2";"P1_1_Salvaged matrix";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"salvaged";"3,141592654";0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"P1_1_Salvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"salvaged";"3,141592654";0;0;0;0;0;1;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"4";"P1_1_Salvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"salvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"P1_1_Unsalvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"unsalvaged";"3,141592654";0;0;0;0;0;6;0;1;0;0;0;3;0;0;4;0;5;0;0;1;0;0;0;0;7;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"6";"P1_1_Unsalvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;1;0;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
"7";"P1_2_Salvaged matrix";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"salvaged";"3,141592654";2;0;1;0;0;2;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"P1_2_Salvaged matrix";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"salvaged";"3,141592654";0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0
"9";"P1_2_Salvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"salvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"10";"P1_2_Salvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"salvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"P1_2_Unsalvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;2;0;0;2;0;0;11;0;2;0;0;1;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"12";"P1_2_Unsalvaged";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";3;"unsalvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1
"13";"P1_3_Salvaged matrix";"Castro et al. 2010: Experimental test of postfire management in pine forests: impact of salvage logging versus partial cutting and nonintervention on bird-species assemblages.";"castro_spain";"fire";"birds";2;"salvaged";"3,141592654";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
