"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Accipiter_gentilis";"Accipiter_nisus";"Aegithalos_caudatus";"Anthus_campestris";"Buteo_buteo";"Caprimulgus_europaeus";"Carduelis_cannabina";"Carduelis_carduelis";"Carduelis_chloris";"Certhia_brachydactyla";"Clamator_glandarius";"Circaetus_gallicus";"Cisticola_juncidis";"Columba_palumbus";"Cuculus_canorus";"Dendrocopos_major";"Miliaria_calandra";"Emberiza_cirlus";"Erithacus_rubecula";"Falco_subbuteo";"Falco_tinnunculus";"Fringilla_coelebs";"Galerida_cristata";"Garrulus_glandarius";"Hippolais_polyglotta";"Lanius_collurio";"Lanius_meridionalis";"Lanius_senator";"Luscinia_megarhynchos";"Merops_apiaster";"Motacilla_alba";"Muscicapa_striata";"Oriolus_oriolus";"Parus_caeruleus";"Parus_cristatus";"Parus_major";"Passer_domesticus";"Phylloscopus_bonelli";"Petronia_petronia";"Pernis_apivorus";"Picus_viridis";"Regulus_ignicapilla";"Saxicola_torquatus";"Serinus_serinus";"Streptopelia_turtur";"Sylvia_atricapilla";"Sylvia_melanocephala";"Sylvia_undata";"Sturnus_vulgaris";"Troglodytes_troglodytes";"Turdus_merula";"Turdus_philomelos";"Turdus_viscivorus";"Lullula_arborea";"Sylvia_cantillans"
"1";"Rost-1";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0,454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,571;0;0;0;0;0;0;0;0;0;0;0,286;0;0;0;0;0;0;0;0;0;0
"2";"Rost-102";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,714;0;0;0;0;0;0;1,381;0;0;0;0;0,369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,39;0;0;0;7,952;0;0;0;0
"3";"Rost-103";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0,764;0;0;0;0;0;0;0;0;0,362;0;0;0;0;0;0;0;0,801;0;0;0;1,685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,783;0;1,178;1,783;0;0;0;0;0;0;0;1,691
"4";"Rost-104";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,867;0;0;0;0,494;0;0;0;0;0;0;0,8;0
"5";"Rost-105";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,045;0;0;0;0;0;0;0;0,963
"6";"Rost-106";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,818;0;0;1,242;0;0;0;6,326;0;0;0;2,443
"7";"Rost-107";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,413;0;0;0;0;0;0,678;0;0;0;6,901;0;0;0,763;0
"8";"Rost-108";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0,371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,406;0;0;0;0;0;0;0;0
"9";"Rost-109";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,411;0;0;0;0,937;0;0;0;0;0;0;1,183;0
"10";"Rost-110";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,312;0;0;0;0;0;0;0;0;0;0,392;0;0;0;0;0;0;0;0;0;0,196;0,369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,322;0;0;0;0;0;0;1,394;0,711
