id;species;weight_mean;clutchsize_mean;nest_position;migration;nocturnal;foraging.substrate_water;foraging.substrate_mud;foraging.substrate_ground;foraging.substrate_trunk;foraging.substrate_vegetation;foraging.substrate_air;foraging.method_pursuit;foraging.method_gleaning;foraging.method_pouncing;foraging.method_grazing;foraging.method_digging;foraging.method_scavenging;foraging.method_probing;diet_plant;diet_vertebrates;diet_invertebrates
1;Accipiter_cooperii;488.5;4;canopy;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0
2;Accipiter_gentilis;808;3;canopy;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0
3;Accipiter_nisus;227;5;canopy;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0
4;Accipiter_soloensis;155;3.5;canopy;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0
5;Accipiter_striatus;150;5;canopy;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0
6;Acrocephalus_palustris;12;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
7;Aegithalos_caudatus;8.3;10;canopy;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
8;Agelaius_phoeniceus;52.5;3.5;canopy;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1
9;Alauda_arvensis;40;4;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
10;Alectoris_rufa;465.5;13;ground;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1
11;Anas_platyrhynchos;1100;10;ground;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1
12;Anthus_campestris;28.75;5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
13;Anthus_pratensis;19;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
14;Anthus_spinoletta;20.5;5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
15;Anthus_trivialis;24.4;6;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
16;Aquila_pomarina;1500;2;canopy;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0
17;Bombycilla_cedrorum;32;4;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
18;Bonasa_bonasia;367.5;5.5;ground;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;0
19;Bonasa_umbellus;667.5;11.5;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0
20;Bucephala_clangula;1147;6.5;hole;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
21;Buteo_buteo;893.5;3.5;canopy;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0
22;Buteo_jamaicensis;1075;3.5;canopy;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0
23;Caprimulgus_europaeus;75;2;ground;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
24;Caprimulgus_indicus;84;2;ground;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
25;Carduelis_cannabina;20.5;5.5;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
26;Carduelis_carduelis;16.5;5;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
27;Carduelis_chloris;25.5;4.5;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
28;Carduelis_flammea;13.5;5;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
29;Carduelis_pinus;14.5;4;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
30;Carduelis_spinus;13.5;4;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
31;Carduelis_tristis;11.5;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
32;Carpodacus_cassinii;29;4.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
33;Carpodacus_purpureus;23;4.5;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
34;Catharus_guttatus;28;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
35;Catharus_ustulatus;35;3.5;canopy;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
36;Catherpes_mexicanus;13.5;5;ground;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
37;Certhia_americana;8.5;4.5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
38;Certhia_brachydactyla;9.2;5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
39;Certhia_familiaris;8.5;5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
40;Chaetura_vauxi;18.5;5.5;canopy;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
41;Chondestes_grammacus;29;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
42;Chordeiles_minor;76.5;2;ground;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
43;Circaetus_gallicus;1750;1;canopy;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
44;Circus_aeruginosus;682.5;4.5;ground;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0
45;Cisticola_juncidis;9.5;4.5;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
46;Clamator_glandarius;124;5.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1
47;Coccothraustes_coccothraustes;59;4.5;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
48;Coccothraustes_vespertinus;54.9;3;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
49;Colaptes_auratus;135;4;hole;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1
50;Columba_oenas;325.5;3.5;hole;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
51;Columba_palumbus;487;2;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
52;Contopus_cooperi;34.5;3;canopy;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1
53;Contopus_sordidulus;13;3;canopy;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
54;Corvus_brachyrhynchos;412.5;4.5;canopy;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1
55;Corvus_corax;1292.5;4.5;canopy;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1
56;Corvus_corone;499;4;canopy;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1
57;Corvus_macrorhynchos;725;4;canopy;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1
58;Coturnix_coturnix;112.5;9;ground;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1
59;Crex_crex;169.5;10;ground;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
60;Cuculus_canorus;119.5;10;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
61;Cuculus_micropterus;119;10;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
62;Cuculus_saturatus;106;10;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
63;Cyanocitta_stelleri;121;4;canopy;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1
64;Cyanoptila_cyanomelana;25;5;hole;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1
65;Dendragapus_falcipennis;660;4;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0
66;Dendragapus_fuliginosus;1037;7;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0
67;Dendragapus_obscurus;1135;7;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0
68;Dendrocopos_kizuki;22;6;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
69;Dendrocopos_leucotos;105;4;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
70;Dendrocopos_major;84;5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
71;Dendrocopos_minor;22;6;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
72;Dendroica_coronata;13;4;canopy;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
73;Dendroica_nigrescens;8.5;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
74;Dendroica_occidentalis;10.5;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
75;Dendroica_petechia;11;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
76;Dendroica_townsendi;8.8;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
77;Dryocopus_martius;310;5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
78;Dryocopus_pileatus;300;4;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
79;Emberiza_cia;23;4;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
80;Emberiza_cioides;21.5;4;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
81;Emberiza_cirlus;24.5;3.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
82;Emberiza_citrinella;27.5;4;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
