plot;X;Y;log
FAE_1;4597694;5437002;salvaged
FAE_11;4597813,99;5436516,61;salvaged
FAE_13;4597837,98;5436419,53;salvaged
FAE_16;4597873,98;5436273,92;salvaged
FAE_18;4597897,98;5436176,84;salvaged
FAE_2;4597706;5436953,46;salvaged
FAE_21;4597933,97;5436031,22;salvaged
FAE_24;4597969,97;5435885,6;salvaged
FAE_3;4597718;5436904,92;salvaged
FAE_4;4597730;5436856,38;salvaged
FAE_6;4597753,99;5436759,31;salvaged
FAE_7;4597765,99;5436710,77;salvaged
FAE_9;4597789,99;5436613,69;salvaged
FKN_1;4593742;5440069;salvaged
FKN_12;4593775,87;5440617,96;salvaged
FKN_14;4593782,03;5440717,77;salvaged
FKN_15;4593785,11;5440767,67;salvaged
FKN_17;4593791,27;5440867,48;unsalvaged
FKN_4;4593751,24;5440218,72;salvaged
FKN_5;4593754,32;5440268,62;salvaged
FKO_4;4593891,99;5440066,89;salvaged
FKO_6;4593991,98;5440065,48;salvaged
LAO_10;4595540,7;5441159,32;unsalvaged
LAO_12;4595587,08;5441070,73;unsalvaged
LAO_13;4595610,27;5441026,43;unsalvaged
LAO_14;4595633,46;5440982,13;unsalvaged
LAO_3;4595378,38;5441469,41;salvaged
LAO_5;4595424,76;5441380,81;unsalvaged
LAO_6;4595447,95;5441336,51;unsalvaged
LAO_7;4595471,14;5441292,22;unsalvaged
LAW_10;4595140,61;5441108,72;unsalvaged
LAW_12;4595186,3;5441019,77;unsalvaged
LAW_13;4595209,14;5440975,29;unsalvaged
LAW_15;4595254,83;5440886,34;unsalvaged
LAW_17;4595300,52;5440797,39;unsalvaged
LAW_18;4595323,37;5440752,91;salvaged
LAW_5;4595026,38;5441331,1;salvaged
LAW_7;4595072,07;5441242,15;unsalvaged
LAW_8;4595094,92;5441197,67;unsalvaged
T3_51;4596192,32;5440730,19;unsalvaged
T3_52;4596229,86;5440822,87;unsalvaged
T3_53;4596267,41;5440915,55;unsalvaged
T3_54;4596304,96;5441008,24;unsalvaged
T3_55;4596342,5;5441100,92;unsalvaged
T3_56;4596380,05;5441193,6;unsalvaged
T3_57;4596417,6;5441286,29;unsalvaged
FAE_45;4597741,99;5436807,84;salvaged
FAE_47;4597789,99;5436613,69;salvaged
FAE_48;4597813,99;5436516,61;salvaged
FAE_49;4597837,98;5436419,53;salvaged
FAE_50;4597861,98;5436322,45;salvaged
FAE_51;4597885,98;5436225,38;salvaged
FAE_52;4597909,98;5436128,3;salvaged
FAE_53;4597933,97;5436031,22;salvaged
FAE_54;4597957,97;5435934,14;salvaged
FAE_55;4597981,97;5435837,07;salvaged
FAE_56;4598005,97;5435739,99;salvaged
FKN_11;4593841,99;5440067,59;salvaged
FKN_13;4594041,97;5440064,78;unsalvaged
FKO_10;4593742;5440069;unsalvaged
FKO_5;4593772,79;5440568,05;salvaged
FKO_7;4593760,48;5440368,43;unsalvaged
FKO_8;4593754,32;5440268,62;unsalvaged
FKO_9;4593748,16;5440168,81;unsalvaged
T3_36;4596417,6;5441286,29;unsalvaged
T3_38;4596342,5;5441100,92;unsalvaged
T3_39;4596304,96;5441008,24;unsalvaged
T3_40;4596267,41;5440915,55;unsalvaged
T3_41;4596229,86;5440822,87;unsalvaged
T3_42;4596192,32;5440730,19;unsalvaged
LAO_18;4594935;5441509;salvaged
LAO_19;4594980,69;5441420,05;salvaged
LAO_20;4595026,38;5441331,1;salvaged
LAO_21;4595072,07;5441242,15;unsalvaged
LAO_22;4595117,76;5441153,19;unsalvaged
LAO_23;4595163,45;5441064,24;unsalvaged
LAO_24;4595209,14;5440975,29;unsalvaged
LAO_25;4595254,83;5440886,34;unsalvaged
LAO_26;4595300,52;5440797,39;unsalvaged
LAO_27;4595346,21;5440708,44;salvaged
LAW_31;4595471,14;5441292,22;unsalvaged
LAW_32;4595517,51;5441203,62;unsalvaged
LAW_33;4595563,89;5441115,03;unsalvaged
LAW_34;4595610,27;5441026,43;unsalvaged
LAW_35;4595656,65;5440937,84;salvaged
